split,global_index,inchi_key,smiles,formula,target_value
train,1589,KEPBFKQZBJTCSI-UHFFFAOYSA-N,CC(O)=Nc1ccc(C2=CC(=O)c3ncccc3C2=O)cc1,,1.55
train,4985,XZDNEHOONYNLCP-VHXPQNKSSA-N,N#Cc1ncc(-c2ccc(N=Nc3ccc(-c4cnc(C#N)[nH]4)o3)o2)[nH]1,,0.96
train,1847,LZQPLLRGDLINNA-UHFFFAOYSA-N,N#Cc1cc(C#N)c2c(n1)C(=O)C(c1ccc(F)cn1)=C(c1ccc(F)cn1)C2=O,,2.39
train,5360,OCAXNVXQHYTXON-UHFFFAOYSA,CC1(C)c2cc(-c3ccc(-c4ccc(O)o4)cc3)ccc2N(c2ccc(-c3ccc(O)o3)cc2)c2ccc(-c3ccc(-c4ccc(O)o4)cc3)cc21,,0.55
train,3852,ZQCKQEGESVJVOL-UHFFFAOYSA-N,COc1ncc(C2=C(c3cnc(OC)[nH]3)C(=O)c3c(C#N)cc(C#N)nc3C2=O)[nH]1,,1.07
train,2686,RKTAIEMPOHIHJL-UHFFFAOYSA-N,Cn1c(Cl)ccc1C1=CC(=O)c2nc(C#N)cc(C#N)c2C1=O,,1.55
train,2904,SJGYSDMSONGTRW-UHFFFAOYSA-N,COc1cnc(C2=C(c3ncc(OC)s3)C(=O)c3nc(C#N)cnc3C2=O)s1,,1.24
train,5336,DMDVONKWDLZNIM-AATRIKPKSA,C/C=C/c1ccc(-c2ccc3c(c2)C(C)(C)c2cc(-c4ccc(-c5coc([N+](=O)[O-])c5)cc4)ccc2N3c2ccc(C)cc2)cc1,,0.66
train,3444,XCSDGOIUERPKAI-UHFFFAOYSA-N,N#Cc1nc2c(nc1C#N)C(=O)C(c1ncc(C(F)(F)F)o1)=C(c1ncc(C(F)(F)F)o1)C2=O,,2.87
train,1013,HOJSBHWKFHVVAY-UHFFFAOYSA-N,N#Cc1cc(C#N)c2c(n1)C(=O)C(c1ccc(Cl)cc1)=C(c1ccc(Cl)cc1)C2=O,,2.08
train,2979,UKWYZXROPKVIRU-UHFFFAOYSA-N,CN(C)c1c[nH]c(C2=C(c3cc(N(C)C)c[nH]3)C(=O)c3nc(C#N)c(C#N)cc3C2=O)c1,,0.25
train,4725,RMEAZJGFNYFQIS-UHFFFAOYSA-N,O=C1c2ccc(-c3nc(OC(F)(F)F)cs3)cc2C(=O)c2cc(-c3nc(OC(F)(F)F)cs3)ccc21,,2.04
train,1705,LIEWIZSVMNJZSI-UHFFFAOYSA-N,O=C1C=C(c2nnc([N+](=O)[O-])nn2)C(=O)c2nccnc21,,2.94
train,5437,IXLTVJDEEZSYHV-UHFFFAOYSA,O=c1oc2cc(Cl)ccc2c2cc3ccccc3c(-c3csc([N+](=O)[O-])c3)c12,,1.66
train,5281,BCXKBHZDCSNALD-UHFFFAOYSA,CO[C]1=N[CH]C(=CN=1)c1ccc(cc1)N1c2ccc(cc2C(c2c1ccc(c2)c1ccc(cc1)c1ccco1)(C)C)c1ccc(cc1)OC(F)(F)F,,0.73
train,758,GGJLUKPRIOFEJW-UHFFFAOYSA-N,COc1cnc2c(c1)C(=O)C(c1ccc(O)cn1)=CC2=O,,2.05
train,2,AAHTVBYDUMLUIQ-UHFFFAOYSA-N,N#Cc1cnc2c(n1)C(=O)C(c1nc(F)cs1)=C(c1nc(F)cs1)C2=O,,2.04
train,3554,XPJGLSOUVFBXGF-UHFFFAOYSA-N,CC(O)=Nc1ccc(C2=CC(=O)c3ncc(C#N)nc3C2=O)nc1,,1.83
train,5375,WGTRBLOCLCYCQE-UHFFFAOYSA,Cc1ncc(-c2ccc(-c3ccc4c(c3)C(C)(C)c3cc(-c5ccc(-c6cc(C(F)(F)F)n(C=O)c6)cc5)ccc3N4c3ccc(C4=CS(=O)(=O)C(F)=C4)cc3)cc2)o1,,0.76
train,1340,JBPQGNKJOZMWDM-UHFFFAOYSA-N,COc1ccc2c(n1)C(=O)C=C(C#CC#N)C2=O,,2.65
train,2929,SMCRGYYOMAHNEF-UHFFFAOYSA-N,O=C1C=C(c2nc([N+](=O)[O-])co2)C(=O)c2nccnc21,,3.05
train,2780,RVKMQAMETPIMKM-UHFFFAOYSA-N,COc1cnc2c(n1)C(=O)C(c1ncc(N=C(C)O)s1)=CC2=O,,1.45
train,4604,OLKVKTVHTBTHGV-UHFFFAOYSA-N,N#Cc1coc(C2(C#N)N=N2)n1,,3.09
train,1010,HNTSQTYLEBRJCF-UHFFFAOYSA-N,COc1cnc2c(n1)C(=O)C=C(c1nc(C)co1)C2=O,,2.13
train,2298,OEUGPBMBIKYKGZ-UHFFFAOYSA-N,COc1cnc(C2=C(c3ncc(OC)s3)C(=O)c3nc(C#N)c(C#N)nc3C2=O)s1,,1.27
train,2112,NGNBKCWLXYYMEV-UHFFFAOYSA-N,COc1cnc2c(c1)C(=O)C(c1ccc[nH]1)=CC2=O,,1.41
train,1911,MGWZATIFNKBNOR-UHFFFAOYSA-N,COc1nc2c(nc1OC)C(=O)C(C1=CC=C(OC(F)(F)F)S1(=O)=O)=CC2=O,,2.26
train,3972,BISKDGONOUMNHM-FMQUCBEESA-N,Fc1ccc(-c2ccc(N=Nc3ccc(-c4ccc(F)s4)o3)o2)s1,,0.66
train,1501,JUXWWXHYXMIHSC-UHFFFAOYSA-N,COc1ccnc2c1C(=O)C(C1=CC=C(O)C1)=CC2=O,,1.14
train,399,CKSZYZIEJCPDMT-UHFFFAOYSA-N,N#Cc1ccc2c(n1)C(=O)C(c1ccc(C(F)(F)F)s1)=C(c1ccc(C(F)(F)F)s1)C2=O,,2.02
train,5477,QQGNLFLAXQMYKK-UHFFFAOYSA,N#Cc1nc(-c2c3ccccc3cc3c2c(=O)oc2cc(Cl)ccc23)co1,,1.73
train,2629,QPMPSDLEDNNTFW-UHFFFAOYSA-N,N#Cc1cnc2c(n1)C(=O)C(c1ncc(OC(F)(F)F)s1)=CC2=O,,2.21
train,4689,QRSPOUGKAVHYPG-DQRAZIAOSA-N,N#Cc1nnc(-c2ccc(N=Nc3ccc(-c4nnc(C#N)nn4)s3)s2)nn1,,1.7
train,2845,SCJDNEGQALLEJN-ONEGZZNKSA-N,CN(C)C=CC1=CC(=O)c2nc(C#N)cnc2C1=O,,1.15
train,4428,LCCDDFQMUIASDI-UHFFFAOYSA-N,N#Cc1cc(-c2ncc(S)o2)c(C#N)c(-c2ncc(S)o2)c1,,-0.89
train,3282,WKZLTPLYYZVCCV-UHFFFAOYSA-N,COc1cnc2c(c1)C(=O)C(c1cnc(N(C)C)[nH]1)=CC2=O,,0.82
train,745,GEKDDOOPCYTJCI-UHFFFAOYSA-N,N#Cc1cc2c(nc1C#N)C(=O)C=C(c1cnc[nH]1)C2=O,,2.09
train,2237,NWUSRKGYOBAOGZ-UHFFFAOYSA-N,N#Cc1cnc2c(n1)C(=O)C(c1ccc(O)[nH]1)=C(c1ccc(O)[nH]1)C2=O,,0.51
train,602,DZFOMOZIAXCNSO-UHFFFAOYSA-N,N#Cc1ccnc2c1C(=O)C(c1ccco1)=CC2=O,,1.97
train,4652,PUKRSFISJKNLPG-UHFFFAOYSA-N,SC#CC1(S)N=N1,,2.02
train,5494,ULXODSQOEGIBNM-UHFFFAOYSA,O=c1oc2cc(-c3ccc(O)[nH]3)ccc2c2cc3ccccc3c(-c3cc(S)[nH]n3)c12,,0.71
train,2058,MZTYTPAPUTXLGT-UHFFFAOYSA-N,CC#CC1=CC(=O)c2nc(C#N)cc(C#N)c2C1=O,,2.87
train,671,FHNZXGTZLBMPKZ-UHFFFAOYSA-N,N#Cc1cc2c(nc1C#N)C(=O)C=C(c1ncc(OC(F)(F)F)o1)C2=O,,2.43
train,1298,IVOGDVZTTLLQEO-UHFFFAOYSA-N,N#Cc1cnc(C2=C(c3ncc(C#N)s3)C(=O)c3nc(C#N)c(C#N)cc3C2=O)s1,,2.49
train,4871,VPKOACZBTMIKIB-XOHWUJONSA-N,COC=Cc1ccc2c(c1)C(=O)c1cc(C=COC)ccc1C2=O,,1.37
train,2672,RJGJWMKHLCXWOF-UHFFFAOYSA-N,N#Cc1c[nH]c(C2=CC(=O)c3nc(C#N)c(C#N)nc3C2=O)c1,,2.15
train,2021,MUXQKUOSHYCZIR-UHFFFAOYSA-N,CC(O)=Nc1ccc(C2=CC(=O)c3ncc(C#N)c(C#N)c3C2=O)[nH]1,,1.12
train,3074,UWEPDXXGFJIPIU-UHFFFAOYSA-N,N#Cc1ccnc2c1C(=O)C(n1ccnc1F)=C(n1ccnc1F)C2=O,,2.22
train,3415,WZFDXUFKWZBBCC-UHFFFAOYSA-N,O=C1C(n2cc(O)nn2)=C(n2cc(O)nn2)C(=O)c2nccnc21,,2.34
train,556,DTIMHNBTUWCCEC-UHFFFAOYSA-N,N#Cc1cnc2c(c1)C(=O)C(C1=CC=CC1)=CC2=O,,1.66
train,2663,RIHDEKFZZLRIIV-UHFFFAOYSA-N,Cn1c(F)ccc1C1=CC(=O)c2ncc(C#N)cc2C1=O,,1.51
train,5253,ORXSDRGKAHUFNA-MHWRWJLKSA,C=NSN1c2ccccc2N(/C=N/S)c2ccccc21,,0.65
train,3868,ZRLDXKOMUIGLSO-UHFFFAOYSA-N,COc1cn(C2=C(n3cc(OC)nn3)C(=O)c3nc(OC)c(OC)nc3C2=O)nn1,,2.19
train,1209,ILGCDWGTKOTWJD-UHFFFAOYSA-N,CN(C)C#CC1=CC(=O)c2nc(C#N)c(C#N)nc2C1=O,,1.6
train,330,CBVZXLBICIOWOG-UHFFFAOYSA-N,N#Cc1cnc2c(c1C#N)C(=O)C(c1ccc([N+](=O)[O-])cn1)=C(c1ccc([N+](=O)[O-])cn1)C2=O,,3.06
train,1336,JBFFQGIBBNWOMS-UHFFFAOYSA-N,Cc1ncc(C2=CC(=O)c3nc(C#N)cc(C#N)c3C2=O)[nH]1,,1.77
train,2882,SGRXIFZWSZWAQL-UHFFFAOYSA-N,Cc1cn(C2=C(n3cc(C)nn3)C(=O)c3nc(C#N)c(C#N)nc3C2=O)nn1,,2.45
train,4834,URZFXQISWCTQBI-OCEACIFDSA-N,O=S1(=O)C(c2ccc(N=Nc3ccc(C4=CC=C(C(F)(F)F)S4(=O)=O)s3)s2)=CC=C1C(F)(F)F,,1.53
train,2513,PEIRQTNUYBBZAD-UHFFFAOYSA-N,Cc1cn(C2=CC(=O)c3ncc(C#N)c(C#N)c3C2=O)c2ccccc12,,1.41
train,5264,WJOLBZFMFUEOLK-UHFFFAOYSA,Fc1cc(N2c3ccccc3N(c3ccoc3F)c3ccccc32)co1,,0.38
train,4347,JUHVRKSVADQROH-DQSJHHFOSA-N,FC(F)(F)Oc1ccc(-c2ccc(N=Nc3ccc(-c4ccc(OC(F)(F)F)s4)[nH]3)[nH]2)s1,,-0.2
train,2277,OBYUNKMRWNNXRZ-UHFFFAOYSA-N,COc1c[nH]c(C2=C(c3cc(OC)c[nH]3)C(=O)c3nc(C#N)c(C#N)nc3C2=O)c1,,0.78
train,2625,QPHCVAXTKCFLFX-UHFFFAOYSA-N,N#Cc1ccnc2c1C(=O)C(C1=CC=C(C(F)(F)F)S1(=O)=O)=C(C1=CC=C(C(F)(F)F)S1(=O)=O)C2=O,,2.87
train,968,HIHJQDXNQDXYHN-UHFFFAOYSA-N,Cc1cnc(C2=C(c3ncc(C)s3)C(=O)c3nc(C#N)c(C#N)nc3C2=O)s1,,1.6
train,2313,OHIHJXOBFBHDCX-UHFFFAOYSA-N,N#Cc1cc(C#N)c2c(n1)C(=O)C=C(c1ncc(OC(F)(F)F)cn1)C2=O,,2.83
train,824,GQJJETGLMPEUMY-HSFFGMMNSA-N,N#Cc1cc2c(nc1C#N)C(=O)C(C=CS)=C(C=CS)C2=O,,1.41
train,5092,AOIFCKQBDADFCF-UHFFFAOYSA,CN1c2ccccc2N(c2csc([N+](=O)[O-])c2)c2ccccc21,,0.26
train,2655,RHEYUHQAUNFEKO-UHFFFAOYSA-N,N#Cc1csc(C2=C(c3nc(C#N)cs3)C(=O)c3ncccc3C2=O)n1,,2.42
train,5387,ZNSUMMNCODFVRU-ULXPUVHCSA,CC1(C)c2cc(-c3ccc(/C=N\[N+](=O)[O-])cc3)ccc2N(c2ccc(-c3coc(Cl)c3)cc2)c2ccc(-c3ccc(-c4cc(C(F)(F)F)[nH]n4)cc3)cc21,,0.85
train,757,GGIZHAFJEOQLDX-UHFFFAOYSA-N,N#Cc1ccc2c(n1)C(=O)C=C(c1ccc(F)n1C=O)C2=O,,1.9
train,3523,XLSVVWLXXRDEKJ-UHFFFAOYSA-N,N#Cc1ccnc2c1C(=O)C(c1ncc(C(F)(F)F)cn1)=C(c1ncc(C(F)(F)F)cn1)C2=O,,2.89
train,4772,SLXWWCJUMOAGIY-UHFFFAOYSA-N,O=Cn1c([N+](=O)[O-])ccc1C1([N+](=O)[O-])N=N1,,3.01
train,1362,JEUMNRGIQXDFNB-UHFFFAOYSA-N,O=Cn1cccc1C1=CC(=O)c2ncccc2C1=O,,1.87
train,4367,KAOWGNCTHPSQJR-OCEACIFDSA-N,c1cnc(-c2ccc(N=Nc3ccc(-c4ncccn4)cc3)cc2)nc1,,1.85
train,5409,CTEWJJPXGCUZIP-UHFFFAOYSA,C=NOCc1ccc2c(c1)oc(=O)c1c2cc2ccccc2c1C1=NN=[C](=N[N]1)OC(F)(F)F,,1.77
train,1236,IODHCKBRQAKTDK-UHFFFAOYSA-N,N#Cc1nc2c(nc1C#N)C(=O)C(n1cc(Cl)nn1)=C(n1cc(Cl)nn1)C2=O,,2.73
train,3529,XLZSQNBZNOXEHA-UHFFFAOYSA-N,N#Cc1nc2c(nc1C#N)C(=O)C(C1=CC=CC1)=CC2=O,,1.75
train,4130,FUZYEVZDQOZJNT-QJZPKIEXSA-N,N#CN=Cc1cc(C#N)cc(C=NC#N)c1C#N,,3.08
train,4762,SFCQXRZTJVTXTI-UCZXZSEYSA-N,ClN=Cc1ccc(N=Nc2ccc(C=NCl)s2)s1,,1.51
train,1637,KJPSUJBGFMRXPA-UHFFFAOYSA-N,N#Cc1cnc2c(c1C#N)C(=O)C(c1ccc[nH]1)=CC2=O,,1.59
train,2491,PBORJOGHXNMMPT-UHFFFAOYSA-N,N#Cc1cc(C#N)c2c(n1)C(=O)C(c1ncc([N+](=O)[O-])cn1)=C(c1ncc([N+](=O)[O-])cn1)C2=O,,3.17
train,1385,JHMNMNDACTXAAV-UHFFFAOYSA-N,O=C1C(c2ncc(Cl)s2)=C(c2ncc(Cl)s2)C(=O)c2ncccc21,,1.81
train,675,FIHLAVXAWPKTGD-UHFFFAOYSA-N,N#CC1=CC=C(C2=C(C3=CC=C(C#N)C3)C(=O)c3nc(C#N)cnc3C2=O)C1,,1.8
train,1635,KJIUCYLIQPPCQJ-UHFFFAOYSA-N,COc1nc2c(nc1OC)C(=O)C(c1ccc([N+](=O)[O-])cn1)=CC2=O,,2.33
train,948,HEIDMGYQRBKRJO-UHFFFAOYSA-N,N#Cc1ccc2c(n1)C(=O)C=C(c1ccc(OC(F)(F)F)[nH]1)C2=O,,1.57
train,4933,WZXCMUFOAYQGOH-VAVLHINXSA-N,FC(F)(F)N=Cc1ccc(N=Nc2ccc(C=NC(F)(F)F)s2)s1,,1.87
train,4534,NCGSINXYGXNQDP-UHFFFAOYSA-N,Cn1c(O)ccc1-c1ccc2c(c1)C(=O)c1cc(-c3ccc(O)n3C)ccc1C2=O,,0.8
train,1218,ILZDUDSACREUOD-UHFFFAOYSA-N,N#Cc1cc2c(nc1C#N)C(=O)C(n1cc(F)c3ccccc31)=C(n1cc(F)c3ccccc31)C2=O,,1.35
train,2776,RVFHDSJRUGKXRP-ZPUQHVIOSA-N,N#Cc1cc2c(nc1C#N)C(=O)C(C=COC(F)(F)F)=C(C=COC(F)(F)F)C2=O,,2.08
train,2516,PEUNZMIURZLNFU-UHFFFAOYSA-N,COc1ccnc2c1C(=O)C(C1=CC=C(C)S1(=O)=O)=CC2=O,,2.21
train,5143,UXHKNSBWQMNZNZ-UHFFFAOYSA,C=NON1c2ccccc2N(c2cc([N+](=O)[O-])n(C=O)c2)c2ccccc21,,0.56
train,943,HEANDKJZKSNBDQ-UHFFFAOYSA-N,Cc1cn(C2=C(n3cc(C)c4ccccc43)C(=O)c3c(ncc(C#N)c3C#N)C2=O)c2ccccc12,,1.32
train,1844,LZFYJLSTOLLMNQ-UHFFFAOYSA-N,N#Cc1nc2c(nc1C#N)C(=O)C(c1ccc(C(F)(F)F)cn1)=CC2=O,,3.05
